risk_code,risk_category,risk_name,risk_description,severity,rule_ids,analyzer_fields,analyzer_names,detection_type,action_types,attack_vector,false_positive_rate,mitigation,references
RISK-022,Transaction Pattern,Deep CPI chains,Excessive nesting (3+ levels) that can hide malicious behavior,CRITICAL,block-deep-cpi-chains,"inner_program_count,inner_programs,unknown_inner_programs,unknown_program_count,has_deep_cpis",inner_instruction,heuristic,block,Excessive nesting (3+ levels) that can hide malicious behavior,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/inner_instruction.md
RISK-023,Transaction Pattern,Hidden token transfers,Token movements buried in CPI calls,CRITICAL,"block-deep-cpi-chains,alert-deep-cpi-chains,block-unknown-cpi-programs,alert-unknown-cpi-programs,block-high-cpi-risk,alert-multiple-unknown-cpis","inner_program_count,inner_programs,unknown_inner_programs,unknown_program_count,has_deep_cpis",inner_instruction,heuristic,"alert,block",Token movements buried in CPI calls,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/inner_instruction.md
RISK-025,Transaction Pattern,CPI manipulation,Complex CPI patterns used to evade detection,CRITICAL,block-high-cpi-risk,"inner_program_count,inner_programs,unknown_inner_programs,unknown_program_count,has_deep_cpis",inner_instruction,pattern,block,Complex CPI patterns used to evade detection,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/inner_instruction.md
RISK-028,Transaction Pattern,Instruction data manipulation,Suspicious or malicious instruction patterns,CRITICAL,,"instruction_data:matched_names,instruction_data:has_match,instruction_data:has_authority_change,instruction_data:match_count,instruction_data:categories",instruction_data,pattern,,Suspicious or malicious instruction patterns,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/instruction_data.md
RISK-029,Transaction Pattern,Known exploit patterns,Fingerprints matching documented exploits,CRITICAL,"block-authority-change-fingerprint,alert-suspicious-instruction-pattern,block-presigned-authority-change","instruction_data:matched_names,instruction_data:has_match,instruction_data:has_authority_change,instruction_data:match_count,instruction_data:categories",instruction_data,pattern,"alert,block",Fingerprints matching documented exploits,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/instruction_data.md
RISK-030,Transaction Pattern,Framework-specific attacks,Anchor and other framework-specific vulnerabilities,CRITICAL,"block-authority-change-fingerprint,alert-suspicious-instruction-pattern,block-presigned-authority-change","instruction_data:matched_names,instruction_data:has_match,instruction_data:has_authority_change,instruction_data:match_count,instruction_data:categories",instruction_data,signature,"alert,block",Anchor and other framework-specific vulnerabilities,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/instruction_data.md
RISK-056,Transaction Pattern,Unexpected balance drains,Unexpected balance drains,CRITICAL,,"simulation_balance:sol_change,simulation_balance:sol_increase,simulation_balance:sol_decrease,simulation_balance:has_sol_drain",simulation_balance_analyzer,heuristic,,Unexpected balance drains,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-043,Wallet Reputation,Known scammer wallets,Addresses flagged by Helius as malicious,CRITICAL,"example-pass-permissive,test-pass-behavior,block-scammers,block-all-malicious,scammer-interaction","helius_identity:total_tokens,helius_identity:total_nfts,helius_identity:wallet_type,helius_identity:is_scammer,helius_identity:other_classifications",helius_identity,heuristic,"alert,block",Addresses flagged by Helius as malicious,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/helius_identity.md
RISK-011,Authority Control,Authority manipulation,Unauthorized authority changes,HIGH,"block-authority-change-non-owned,block-freeze-with-approval,alert-token-freeze-detected,alert-token-mint-authority,block-freeze-with-approval,alert-authority-changes,block-authority-changes,block-freeze-operations","has_approve,approve_count,unlimited_approve_count,has_revoke,revoke_count",token_instructions,heuristic,"alert,block",Unauthorized authority changes,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/token_instructions.md
RISK-035,Authority Control,Freeze authority risk,Token can be frozen by centralized authority,HIGH,"block-freezable-tokens,alert-freezable-tokens,block-all-mints-freezable,block-freeze-authority-on-blocklist,alert-multiple-risky-mints","token_mint:freeze_authority_present,token_mint:mint_authority_present,token_mint:centralized_control,token_mint:mints_checked,token_mint:risky_mint_count",token_mint,heuristic,"alert,block",Token can be frozen by centralized authority,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/token_mint.md
RISK-038,Authority Control,Scam tokens,Tokens with concerning authority configurations,HIGH,"block-freezable-tokens,alert-freezable-tokens,block-all-mints-freezable,block-freeze-authority-on-blocklist,alert-multiple-risky-mints","token_mint:freeze_authority_present,token_mint:mint_authority_present,token_mint:centralized_control,token_mint:mints_checked,token_mint:risky_mint_count",token_mint,heuristic,"alert,block",Tokens with concerning authority configurations,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/token_mint.md
RISK-049,Authority Control,Mint authority risks,Active mint authority (infinite supply),HIGH,"alert-freeze-authority-enabled,alert-mint-authority-active","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,heuristic,alert,Active mint authority (infinite supply),unknown,Alerts user with warning when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-050,Authority Control,Freeze authority risks,Active freeze authority,HIGH,"alert-freeze-authority-enabled,alert-mint-authority-active","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,heuristic,alert,Active freeze authority,unknown,Alerts user with warning when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-017,Program Reputation,Account manipulation,Suspicious account reassignments or data modifications,HIGH,,"has_sol_transfer,sol_transfer_count,total_sol_transferred,max_sol_transfer,large_sol_transfer",system_program,pattern,,Suspicious account reassignments or data modifications,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/system_program.md
RISK-067,Program Reputation,suspicious program behavior,suspicious program behavior,HIGH,,"simulation_logs:log_count,simulation_logs:has_errors,simulation_logs:suspicious_patterns,simulation_logs:program_logs",simulation_log_analyzer,pattern,,suspicious program behavior,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-010,Token Delegation,Freeze + delegation combo,Freeze authority paired with approval (lock and steal),HIGH,"allow-jupiter-delegate,allow-raydium-delegate,allow-orca-delegate,block-delegation-to-unknown,alert-delegation-to-new-address,block-unlimited-to-any,block-transfer-from-non-owned,block-authority-change-non-owned,alert-approve-non-owned,block-unlimited-delegation,block-freeze-with-approval,block-burn-with-approval,alert-freeze-operation,allow-revoke,block-net-delegation-increase,alert-token-freeze-detected,alert-token-mint-authority,block-unlimited-delegation,block-freeze-with-approval,block-burn-with-approval,block-net-delegation-increase,allow-revoke-only,alert-freeze-operation,alert-authority-changes,block-any-delegation,block-authority-changes,block-freeze-operations","has_approve,approve_count,unlimited_approve_count,has_revoke,revoke_count",token_instructions,heuristic,"pass,alert,block",Freeze authority paired with approval (lock and steal),0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/token_instructions.md
RISK-037,Token Safety,Centralized control,Both freeze and mint authorities present (rug pull risk),HIGH,"block-freezable-tokens,alert-freezable-tokens,block-all-mints-freezable,block-freeze-authority-on-blocklist,alert-multiple-risky-mints","token_mint:freeze_authority_present,token_mint:mint_authority_present,token_mint:centralized_control,token_mint:mints_checked,token_mint:risky_mint_count",token_mint,heuristic,"alert,block",Both freeze and mint authorities present (rug pull risk),unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/token_mint.md
RISK-047,Token Safety,High-risk tokens,Tokens with danger-level risk scores,HIGH,"example-any-conditions,critical-risk-score,critical-risk,block-confirmed-rugpulls,alert-freeze-authority-enabled,block-danger-level-tokens,alert-mint-authority-active,critical-risk-score","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,heuristic,"alert,block",Tokens with danger-level risk scores,0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-048,Token Safety,Liquidity risks,Unlocked or low liquidity pools,HIGH,"example-any-conditions,critical-risk-score,critical-risk,block-confirmed-rugpulls,alert-freeze-authority-enabled,block-danger-level-tokens,alert-mint-authority-active,critical-risk-score","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,heuristic,"alert,block",Unlocked or low liquidity pools,0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-051,Token Safety,Top holder concentration,Excessive token concentration in few wallets,HIGH,"example-any-conditions,critical-risk-score,critical-risk,block-confirmed-rugpulls,alert-freeze-authority-enabled,block-danger-level-tokens,alert-mint-authority-active,critical-risk-score","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,heuristic,"alert,block",Excessive token concentration in few wallets,0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-052,Token Safety,Creator risks,Suspicious creator behavior or holdings,HIGH,"example-any-conditions,critical-risk-score,critical-risk,block-confirmed-rugpulls,alert-freeze-authority-enabled,block-danger-level-tokens,alert-mint-authority-active,critical-risk-score","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,pattern,"alert,block",Suspicious creator behavior or holdings,0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-013,Transaction Pattern,Multi-token attacks,Operations across multiple tokens simultaneously,HIGH,"allow-jupiter-delegate,allow-raydium-delegate,allow-orca-delegate,block-delegation-to-unknown,alert-delegation-to-new-address,block-unlimited-to-any,allow-usdc-only,allow-stablecoins-only,block-suspicious-mint,alert-multiple-mints,prefer-transfer-checked,block-close-non-owned-account,block-transfer-from-non-owned,block-authority-change-non-owned,alert-approve-non-owned,block-multiple-non-owned-ops,block-unlimited-delegation,block-freeze-with-approval,block-burn-with-approval,alert-any-burn,alert-freeze-operation,allow-revoke,block-net-delegation-increase,alert-mint-operation,block-dangerous-combo,mainnet-usdc-large-transfer,devnet-usdc-test,alert-token-freeze-detected,alert-token-mint-authority,block-drift-nonce-custom-program-outflow,block-unlimited-delegation,block-freeze-with-approval,block-burn-with-approval,block-net-delegation-increase,allow-revoke-only,alert-any-burn,alert-freeze-operation,alert-mint-operation,block-dangerous-instruction-combo,alert-authority-changes,block-drift-nonce-custom-program-outflow,block-any-delegation,block-authority-changes,block-freeze-operations,block-mint-burn","has_approve,approve_count,unlimited_approve_count,has_revoke,revoke_count",token_instructions,heuristic,"pass,alert,block",Operations across multiple tokens simultaneously,0.005,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/token_instructions.md
RISK-054,Transaction Pattern,Scam tokens,Tokens excluded from Jupiter,HIGH,,"jupiter:is_strict_verified,jupiter:verification_status,jupiter:mints_checked,jupiter:unverified_count",jupiter_token,heuristic,,Tokens excluded from Jupiter,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/jupiter_token.md
RISK-005,Authority Control,Authority changes,Unauthorized ownership transfers,MEDIUM,"example-auto-default,require-verified-for-critical-operations,authority-changes,test-auto-behavior,test-fail-behavior,alert-authority-changes,authority-changes-suspicious","risk_score,risk_level,delegation_detected,delegation_is_unlimited,delegation_count",security,heuristic,"alert,block",Unauthorized ownership transfers,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/security.md
RISK-020,Instruction Padding,Program obfuscation,Unusual program combinations to evade detection,MEDIUM,,"core_program_count,non_core_program_count,total_unique_programs,non_core_programs",program_complexity,pattern,,Unusual program combinations to evade detection,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/program_complexity.md
RISK-018,Program Reputation,Unknown programs,Unverified or custom programs (potential malware),MEDIUM,,"core_program_count,non_core_program_count,total_unique_programs,non_core_programs",program_complexity,heuristic,,Unverified or custom programs (potential malware),unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/program_complexity.md
RISK-019,Program Reputation,Complex multi-program attacks,Coordinated exploits across programs,MEDIUM,,"core_program_count,non_core_program_count,total_unique_programs,non_core_programs",program_complexity,heuristic,,Coordinated exploits across programs,medium,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/program_complexity.md
RISK-033,Program Reputation,Hidden failures,Programs that fail silently,MEDIUM,"alert-transaction-log-errors,block-multiple-suspicious-patterns","transaction_logs:has_logs,transaction_logs:log_count,transaction_logs:has_errors,transaction_logs:error_count,transaction_logs:suspicious_patterns",transaction_logs,heuristic,"alert,block",Programs that fail silently,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/transaction_logs.md
RISK-034,Program Reputation,Unexpected program behavior,Unusual log patterns,MEDIUM,"alert-transaction-log-errors,block-multiple-suspicious-patterns","transaction_logs:has_logs,transaction_logs:log_count,transaction_logs:has_errors,transaction_logs:error_count,transaction_logs:suspicious_patterns",transaction_logs,pattern,"alert,block",Unusual log patterns,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/transaction_logs.md
RISK-039,Program Reputation,Unverified programs,Programs without cryptographic verification,MEDIUM,,"ottersec_verified:all_programs_verified,ottersec_verified:verified_program_count,ottersec_verified:unverified_program_count,ottersec_verified:verification_failed,ottersec_verified:unverified_programs",ottersec_verified,heuristic,,Programs without cryptographic verification,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/ottersec_verified.md
RISK-053,Program Reputation,Unverified tokens,Tokens not on Jupiter's strict list,MEDIUM,,"jupiter:is_strict_verified,jupiter:verification_status,jupiter:mints_checked,jupiter:unverified_count",jupiter_token,heuristic,,Tokens not on Jupiter's strict list,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/jupiter_token.md
RISK-008,Token Delegation,Token drainers,Unlimited approvals (u64::MAX delegation),MEDIUM,"allow-jupiter-delegate,allow-raydium-delegate,allow-orca-delegate,block-delegation-to-unknown,alert-delegation-to-new-address,block-unlimited-to-any,block-transfer-from-non-owned,alert-approve-non-owned,block-unlimited-delegation,block-freeze-with-approval,block-burn-with-approval,allow-revoke,block-net-delegation-increase,alert-token-mint-authority,block-unlimited-delegation,block-freeze-with-approval,block-burn-with-approval,block-net-delegation-increase,allow-revoke-only,block-any-delegation","has_approve,approve_count,unlimited_approve_count,has_revoke,revoke_count",token_instructions,signature,"pass,alert,block",Unlimited approvals (u64::MAX delegation),0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/token_instructions.md
RISK-001,Transaction Pattern,Transaction complexity attacks,Excessive instructions to evade detection,MEDIUM,complex-transaction-warning,"instruction_count,account_keys_count,writable_accounts_count,signers_count,amount",basic,heuristic,alert,Excessive instructions to evade detection,medium,Alerts user with warning when detected,sol-shield/core/src/rules/analyzers/core/basic.md
RISK-007,Transaction Pattern,High-risk transactions,Aggregated risk scoring across patterns,MEDIUM,"example-auto-default,example-compound-conditions,example-any-conditions,block-delegation-to-unverified,require-verified-for-critical-operations,unlimited-delegation,blocked-programs,critical-risk-score,multiple-delegations,authority-changes,test-auto-behavior,test-fail-behavior,unlimited-delegation,blocked-programs,critical-risk,critical-security-all-networks,unlimited-delegation,blocked-programs,alert-authority-changes,unlimited-delegation,blocked-programs,critical-risk-score,multiple-delegations,authority-changes-suspicious","risk_score,risk_level,delegation_detected,delegation_is_unlimited,delegation_count",security,pattern,"alert,block",Aggregated risk scoring across patterns,0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/security.md
RISK-031,Transaction Pattern,Error-based exploits,Intentional failures to trigger edge cases,MEDIUM,"alert-transaction-log-errors,block-multiple-suspicious-patterns","transaction_logs:has_logs,transaction_logs:log_count,transaction_logs:has_errors,transaction_logs:error_count,transaction_logs:suspicious_patterns",transaction_logs,heuristic,"alert,block",Intentional failures to trigger edge cases,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/transaction_logs.md
RISK-032,Transaction Pattern,Log-based attack patterns,Suspicious log messages,MEDIUM,"alert-transaction-log-errors,block-multiple-suspicious-patterns","transaction_logs:has_logs,transaction_logs:log_count,transaction_logs:has_errors,transaction_logs:error_count,transaction_logs:suspicious_patterns",transaction_logs,pattern,"alert,block",Suspicious log messages,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/transaction_logs.md
RISK-044,Wallet Reputation,Suspicious wallet patterns,Unusual classifications or behaviors,MEDIUM,"example-auto-default,example-fail-conservative,example-pass-permissive,example-compound-conditions,example-any-conditions,test-auto-behavior,test-fail-behavior,test-pass-behavior,block-scammers,block-hackers,block-exploiters,block-ruggers,alert-spam,warn-compromised-wallet,block-all-malicious,authority-changes-suspicious,scammer-interaction,suspicious-interaction","helius_identity:total_tokens,helius_identity:total_nfts,helius_identity:wallet_type,helius_identity:is_scammer,helius_identity:other_classifications",helius_identity,pattern,"alert,block",Unusual classifications or behaviors,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/helius_identity.md
RISK-045,Wallet Reputation,High-risk counterparties,Transactions with low-reputation wallets,MEDIUM,"example-auto-default,example-fail-conservative,example-pass-permissive,example-compound-conditions,example-any-conditions,test-auto-behavior,test-fail-behavior,test-pass-behavior,block-scammers,block-hackers,block-exploiters,block-ruggers,alert-spam,warn-compromised-wallet,block-all-malicious,authority-changes-suspicious,scammer-interaction,suspicious-interaction","helius_identity:total_tokens,helius_identity:total_nfts,helius_identity:wallet_type,helius_identity:is_scammer,helius_identity:other_classifications",helius_identity,heuristic,"alert,block",Transactions with low-reputation wallets,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/helius_identity.md
RISK-015,Program Reputation,Account creation spam,Mass account creation (resource exhaustion),LOW,,"has_sol_transfer,sol_transfer_count,total_sol_transferred,max_sol_transfer,large_sol_transfer",system_program,heuristic,,Mass account creation (resource exhaustion),unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/system_program.md
RISK-016,Program Reputation,Unauthorized SOL transfers,Unexpected SOL movements,LOW,,"has_sol_transfer,sol_transfer_count,total_sol_transferred,max_sol_transfer,large_sol_transfer",system_program,heuristic,,Unexpected SOL movements,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/system_program.md
RISK-021,Program Reputation,Zero-day exploits,Novel programs with no reputation,LOW,,"core_program_count,non_core_program_count,total_unique_programs,non_core_programs",program_complexity,heuristic,,Novel programs with no reputation,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/program_complexity.md
RISK-040,Program Reputation,Program impersonation,Fake programs mimicking legitimate ones,LOW,,"ottersec_verified:all_programs_verified,ottersec_verified:verified_program_count,ottersec_verified:unverified_program_count,ottersec_verified:verification_failed,ottersec_verified:unverified_programs",ottersec_verified,heuristic,,Fake programs mimicking legitimate ones,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/ottersec_verified.md
RISK-041,Program Reputation,Tampered programs,Programs modified from verified versions,LOW,,"ottersec_verified:all_programs_verified,ottersec_verified:verified_program_count,ottersec_verified:unverified_program_count,ottersec_verified:verification_failed,ottersec_verified:unverified_programs",ottersec_verified,heuristic,,Programs modified from verified versions,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/ottersec_verified.md
RISK-042,Program Reputation,Supply chain attacks,Compromised program deployments,LOW,,"ottersec_verified:all_programs_verified,ottersec_verified:verified_program_count,ottersec_verified:unverified_program_count,ottersec_verified:verification_failed,ottersec_verified:unverified_programs",ottersec_verified,heuristic,,Compromised program deployments,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/ottersec_verified.md
RISK-057,SOL Transfer,hidden SOL transfers,hidden SOL transfers,LOW,,"simulation_balance:sol_change,simulation_balance:sol_increase,simulation_balance:sol_decrease,simulation_balance:has_sol_drain",simulation_balance_analyzer,heuristic,,hidden SOL transfers,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-055,Transaction Pattern,Low-quality tokens,Tokens failing Jupiter's criteria,LOW,,"jupiter:is_strict_verified,jupiter:verification_status,jupiter:mints_checked,jupiter:unverified_count",jupiter_token,heuristic,,Tokens failing Jupiter's criteria,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/third_party/jupiter_token.md
RISK-058,Transaction Pattern,Hidden token transfers,Hidden token transfers,LOW,,"simulation_token:tokens_changed,simulation_token:token_count,simulation_token:has_token_drain,simulation_token:largest_change_pct",simulation_token_analyzer,heuristic,,Hidden token transfers,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-059,Transaction Pattern,unexpected token movements,unexpected token movements,LOW,,"simulation_token:tokens_changed,simulation_token:token_count,simulation_token:has_token_drain,simulation_token:largest_change_pct",simulation_token_analyzer,heuristic,,unexpected token movements,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-060,Transaction Pattern,Deep CPI chains,Deep CPI chains,LOW,,"simulation_cpi:cpi_count,simulation_cpi:cpi_depth,simulation_cpi:has_deep_cpis,simulation_cpi:programs_called",simulation_cpi_analyzer,heuristic,,Deep CPI chains,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-061,Transaction Pattern,CPI-based exploits,CPI-based exploits,LOW,,"simulation_cpi:cpi_count,simulation_cpi:cpi_depth,simulation_cpi:has_deep_cpis,simulation_cpi:programs_called",simulation_cpi_analyzer,heuristic,,CPI-based exploits,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-062,Transaction Pattern,Compute exhaustion attacks,Compute exhaustion attacks,LOW,,"simulation_compute:units_consumed,simulation_compute:units_requested,simulation_compute:efficiency_pct,simulation_compute:has_high_usage",simulation_compute_analyzer,heuristic,,Compute exhaustion attacks,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-063,Transaction Pattern,resource abuse,resource abuse,LOW,,"simulation_compute:units_consumed,simulation_compute:units_requested,simulation_compute:efficiency_pct,simulation_compute:has_high_usage",simulation_compute_analyzer,heuristic,,resource abuse,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-064,Transaction Pattern,Intentional failure patterns,Intentional failure patterns,LOW,,"simulation_failure:failed,simulation_failure:error_type,simulation_failure:error_message,simulation_failure:is_intentional",simulation_failure_analyzer,pattern,,Intentional failure patterns,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
RISK-065,Transaction Pattern,error-based exploits,error-based exploits,LOW,,"simulation_failure:failed,simulation_failure:error_type,simulation_failure:error_message,simulation_failure:is_intentional",simulation_failure_analyzer,heuristic,,error-based exploits,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/simulation/README.md
